tagName,tagDesc,printer,itemCustomID
Side Printer,SIDE,RP80 Side Printer,13
Side Printer,SIDE,RP80 Side Printer,14
Side Printer,SIDE,RP80 Side Printer,15
Side Printer,SIDE,RP80 Side Printer,11
Side Printer,SIDE,RP80 Side Printer,12
Side Printer,SIDE,RP80 Side Printer,16
Side Printer,SIDE,RP80 Side Printer,17
Side Printer,SIDE,RP80 Side Printer,18
Side Printer,SIDE,RP80 Side Printer,36
Dessert Printer,DESSERT,RP80 Dessert Printer,19
Dessert Printer,DESSERT,RP80 Dessert Printer,999005018
Dessert Printer,DESSERT,RP80 Dessert Printer,18
Dessert Printer,DESSERT,RP80 Dessert Printer,36
Dessert Printer,DESSERT,RP80 Dessert Printer,16
Dessert Printer,DESSERT,RP80 Dessert Printer,17
Dessert Printer,DESSERT,RP80 Dessert Printer,12
Beverage Printer,BEVERAGE,RP80 Beverage Printer,20
Beverage Printer,BEVERAGE,RP80 Beverage Printer,22
Beverage Printer,BEVERAGE,RP80 Beverage Printer,23
Beverage Printer,BEVERAGE,RP80 Beverage Printer,24
Beverage Printer,BEVERAGE,RP80 Beverage Printer,25
Beverage Printer,BEVERAGE,RP80 Beverage Printer,26
Beverage Printer,BEVERAGE,RP80 Beverage Printer,28
Beverage Printer,BEVERAGE,RP80 Beverage Printer,27
Beverage Printer,BEVERAGE,RP80 Beverage Printer,29
Beverage Printer,BEVERAGE,RP80 Beverage Printer,30
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999001026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005027
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005031
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005032
Beverage Printer,BEVERAGE,RP80 Beverage Printer,21
Beverage Printer,BEVERAGE,RP80 Beverage Printer,33
Beverage Printer,BEVERAGE,RP80 Beverage Printer,34
Beverage Printer,BEVERAGE,RP80 Beverage Printer,35
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999006026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999007026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999008026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999005018
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009020
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009021
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009022
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009023
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009024
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009025
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999009026
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999002006
Beverage Printer,BEVERAGE,RP80 Beverage Printer,999003005
